ID	symbol	lfc	p
ENSMUSG00000000489	ENSMUSG00000000489	Pdgfb	0.0470974002099201	0.685130748990074
ENSMUSG00000000530	ENSMUSG00000000530	Acvrl1	0.290924332680361	0.0372347576250997
ENSMUSG00000000531	ENSMUSG00000000531	Grasp	-0.343467136935376	0.0296321054891326
ENSMUSG00000000532	ENSMUSG00000000532	Acvr1b	0.253870352606619	0.0319336921759141
ENSMUSG00000000538	ENSMUSG00000000538	Tom1l2	-0.983667607304908	3.71430990004563e-05
ENSMUSG00000000544	ENSMUSG00000000544	Gpa33	0	1
ENSMUSG00000000552	ENSMUSG00000000552	Zfp385a	0.375789874609532	0.00453001154053316
ENSMUSG00000000555	ENSMUSG00000000555	Itga5	0.190485061478151	0.0471715062498428
ENSMUSG00000000560	ENSMUSG00000000560	Gabra2	-0.00898138916448741	0.982987865617997
ENSMUSG00000000561	ENSMUSG00000000561	Wdr77	0.245836154471617	0.0428063455602079
ENSMUSG00000000562	ENSMUSG00000000562	Adora3	-0.233006742145469	0.206557214619791
ENSMUSG00000000563	ENSMUSG00000000563	Atp5f1	-0.0721245918177747	0.444878395949059
ENSMUSG00000000567	ENSMUSG00000000567	Sox9	0.336532707247652	0.108471347445721
ENSMUSG00000000568	ENSMUSG00000000568	Hnrnpd	0.109377294763762	0.247775064489885
ENSMUSG00000000579	ENSMUSG00000000579	Dynlt1c	0	1
ENSMUSG00000000581	ENSMUSG00000000581	C1d	0.0393223059938999	0.7655093457168
ENSMUSG00000000594	ENSMUSG00000000594	Gm2a	-2.85400760740903	1.38161795310301e-08
ENSMUSG00000000600	ENSMUSG00000000600	Krit1	0.103065985805035	0.341545844435667
ENSMUSG00000000605	ENSMUSG00000000605	Clcn4	-0.140698857714697	0.115161670190222
ENSMUSG00000000606	ENSMUSG00000000606	Vmn2r88	0	1
ENSMUSG00000000617	ENSMUSG00000000617	Grm6	-0.525218572931395	0.0444298043541247
ENSMUSG00000000627	ENSMUSG00000000627	Sema4f	0.0651893954158396	0.915461867039041
ENSMUSG00000000628	ENSMUSG00000000628	Hk2	0.661616233697991	0.00323294304302836
ENSMUSG00000000631	ENSMUSG00000000631	Myo18a	-0.478998611477309	0.00654625277693626
ENSMUSG00000000632	ENSMUSG00000000632	Sez6	0	1
ENSMUSG00000000673	ENSMUSG00000000673	Haao	-0.228964260105947	0.719710624531034
ENSMUSG00000000682	ENSMUSG00000000682	Cd52	0.21612805749979	0.476704797666009
ENSMUSG00000000686	ENSMUSG00000000686	Abhd15	0.464268398684274	0.18492090916774
ENSMUSG00000000690	ENSMUSG00000000690	Hoxb6	-0.482678038147773	0.0608122258174619
ENSMUSG00000000693	ENSMUSG00000000693	Loxl3	0.127424831088159	0.517359228309113
ENSMUSG00000000701	ENSMUSG00000000701	Tcl1b5	0	1
ENSMUSG00000000706	ENSMUSG00000000706	Btn1a1	0	1
ENSMUSG00000000708	ENSMUSG00000000708	Kat2b	-0.0376483415290105	0.78282910790795
ENSMUSG00000000711	ENSMUSG00000000711	Rab5b	-0.113542941973848	0.251057407697717
ENSMUSG00000000724	ENSMUSG00000000724	Cryba1	0	1
ENSMUSG00000000730	ENSMUSG00000000730	Dnmt3l	1.82717238523569	0.000260428085121021
ENSMUSG00000000731	ENSMUSG00000000731	Aire	2.80288105461183	0.00136077670185922
ENSMUSG00000000732	ENSMUSG00000000732	Icosl	0.993372367323557	0.000225115871427025
ENSMUSG00000000738	ENSMUSG00000000738	Spg7	-0.0437537115947805	0.664283687393869
ENSMUSG00000000739	ENSMUSG00000000739	Sult5a1	0.692810564357996	4.50340998416758e-05
ENSMUSG00000000740	ENSMUSG00000000740	Rpl13	0.327040794925228	0.343097099901433
ENSMUSG00000000743	ENSMUSG00000000743	Chmp1a	-0.0815948093421541	0.534031339409309
ENSMUSG00000000751	ENSMUSG00000000751	Rpa1	0.0424682496764766	0.684630272445385
ENSMUSG00000000753	ENSMUSG00000000753	Serpinf1	-0.209854185529808	0.0867511943472512
ENSMUSG00000000759	ENSMUSG00000000759	Tubgcp3	0.155762289250457	0.150978520598361
ENSMUSG00000000766	ENSMUSG00000000766	Oprm1	0	1
ENSMUSG00000000776	ENSMUSG00000000776	Polr3d	0.0246559981108445	0.844896681569914
ENSMUSG00000000782	ENSMUSG00000000782	Tcf7	-0.728647700092278	0.000331212669878728
ENSMUSG00000000787	ENSMUSG00000000787	Ddx3x	0.112465414622021	0.312653108490455
ENSMUSG00000000791	ENSMUSG00000000791	Il12rb1	-0.207450510770237	0.643548736096527
ENSMUSG00000000792	ENSMUSG00000000792	Slc5a5	-0.160376825221081	0.608326342090732
ENSMUSG00000000794	ENSMUSG00000000794	Kcnn3	-0.137086720604852	0.720831387644836
ENSMUSG00000000804	ENSMUSG00000000804	Usp32	-0.782773178064478	0.000490869905303552
ENSMUSG00000000805	ENSMUSG00000000805	Car4	-0.153635925788607	0.807430254403055
ENSMUSG00000000811	ENSMUSG00000000811	Txnrd3	0.737711634771518	0.00591165270358137
ENSMUSG00000000817	ENSMUSG00000000817	Fasl	0	1
ENSMUSG00000000823	ENSMUSG00000000823	Zfp512b	0.27116491780309	0.0148348658707857
ENSMUSG00000000826	ENSMUSG00000000826	Dnajc5	0.156496764402231	0.204279429264521
ENSMUSG00000000827	ENSMUSG00000000827	Tpd52l2	0.126867057020258	0.213844874542922
ENSMUSG00000000838	ENSMUSG00000000838	Fmr1	0.160065574672665	0.289142546025883
ENSMUSG00000000861	ENSMUSG00000000861	Bcl11a	0.437382799699787	0.00121327546035351
ENSMUSG00000000869	ENSMUSG00000000869	Il4	-0.659384428126155	0.105575040526475
ENSMUSG00000000876	ENSMUSG00000000876	Pxmp4	-0.918919798886831	1.13774848362796e-05
ENSMUSG00000000881	ENSMUSG00000000881	Dlg3	-1.09475075845948	8.60172622568398e-06
ENSMUSG00000000884	ENSMUSG00000000884	Gnb1l	0.24009088313506	0.112852022576622
ENSMUSG00000000889	ENSMUSG00000000889	Dbh	0	1
ENSMUSG00000000901	ENSMUSG00000000901	Mmp11	-0.108026566719418	0.570787474171364
ENSMUSG00000000902	ENSMUSG00000000902	Smarcb1	0.0309264132889199	0.765825886047844
ENSMUSG00000000903	ENSMUSG00000000903	Vpreb3	0	1
ENSMUSG00000000915	ENSMUSG00000000915	Hip1r	-0.619281095323724	0.0100394838185291
ENSMUSG00000000916	ENSMUSG00000000916	Nsun5	0.159013790367753	0.209624591407204
ENSMUSG00000000934	ENSMUSG00000000934	Top1mt	0.472016828119506	0.0111368157394108
ENSMUSG00000000938	ENSMUSG00000000938	Hoxa10	-0.741017821902709	0.0141415631944741
ENSMUSG00000000942	ENSMUSG00000000942	Hoxa4	0.263307225142646	0.442612552432035
ENSMUSG00000000948	ENSMUSG00000000948	Gm38393	0	1
ENSMUSG00000000957	ENSMUSG00000000957	Mmp14	-0.0520154909922336	0.686945348827648
ENSMUSG00000000958	ENSMUSG00000000958	Slc7a7	-0.0730898538824709	0.75725005651285
ENSMUSG00000000959	ENSMUSG00000000959	Oxa1l	0.25309708059433	0.0143349551309388
ENSMUSG00000000976	ENSMUSG00000000976	Heatr6	0.0580196053830751	0.572446561215129
ENSMUSG00000000982	ENSMUSG00000000982	Ccl3	-0.0044260245642543	0.994336194020126
ENSMUSG00000000983	ENSMUSG00000000983	Wfdc18	0	1
ENSMUSG00000001014	ENSMUSG00000001014	Icam4	0.13471383582056	0.806760493634366
ENSMUSG00000001016	ENSMUSG00000001016	Ilf2	-0.0742165172692796	0.402607221086557
ENSMUSG00000001017	ENSMUSG00000001017	Chtop	-0.0304415445557744	0.753624641833168
ENSMUSG00000001018	ENSMUSG00000001018	Snapin	-0.0371650579637879	0.711199454268154
ENSMUSG00000001020	ENSMUSG00000001020	S100a4	-0.827003465706959	0.0010730086377634
ENSMUSG00000001021	ENSMUSG00000001021	S100a3	-1.91444698835778	0.0162791061492417
ENSMUSG00000001023	ENSMUSG00000001023	S100a5	0	1
ENSMUSG00000001025	ENSMUSG00000001025	S100a6	-0.234237670905735	0.488906129478504
ENSMUSG00000001027	ENSMUSG00000001027	Scn4a	-0.717144296795661	0.0258039537791317
ENSMUSG00000001029	ENSMUSG00000001029	Icam2	-0.0860717862939875	0.629659286480576
ENSMUSG00000001034	ENSMUSG00000001034	Mapk7	-0.0610220251396108	0.523661923266222
ENSMUSG00000001036	ENSMUSG00000001036	Epn2	-0.119310406115259	0.232959484256993
ENSMUSG00000001039	ENSMUSG00000001039	B9d1	-0.296436445732673	0.10533985681159
ENSMUSG00000001052	ENSMUSG00000001052	Sec24b	0.269380587593191	0.0165205878846415
ENSMUSG00000001053	ENSMUSG00000001053	N4bp3	-0.599130769629351	0.000613975275794827
ENSMUSG00000001054	ENSMUSG00000001054	Rmnd5b	-0.39588050084062	0.00447324200771684
ENSMUSG00000001056	ENSMUSG00000001056	Nhp2	0.178104859131165	0.202512240374634
ENSMUSG00000001062	ENSMUSG00000001062	Vps9d1	-0.427826723604519	0.00250239619310348
ENSMUSG00000001065	ENSMUSG00000001065	Zfp276	-0.06501992888183	0.524710750789241
ENSMUSG00000001076	ENSMUSG00000001076	C1ql4	0	1
ENSMUSG00000001082	ENSMUSG00000001082	Mfsd10	0.167583437852237	0.110531797286146
ENSMUSG00000001089	ENSMUSG00000001089	Luzp1	0.315965643049535	0.0190614213821297
ENSMUSG00000001095	ENSMUSG00000001095	Slc13a2	0	1
ENSMUSG00000001098	ENSMUSG00000001098	Kctd10	-0.115297398933677	0.204752897866553
ENSMUSG00000001100	ENSMUSG00000001100	Poldip2	0.0897006941259113	0.308828090225203
ENSMUSG00000001103	ENSMUSG00000001103	Sebox	-3.79194844084009	0.000804256800847125
ENSMUSG00000001105	ENSMUSG00000001105	Ift20	-0.914985952068978	6.31583764986155e-06
ENSMUSG00000001119	ENSMUSG00000001119	Col6a1	-0.152845759800776	0.20145417418453
ENSMUSG00000001120	ENSMUSG00000001120	Pcbp3	1.12007503551534	0.000205323531204525
ENSMUSG00000001123	ENSMUSG00000001123	Lgals9	-0.0440228489208576	0.757961470185627
ENSMUSG00000001127	ENSMUSG00000001127	Araf	-0.152301213539284	0.0939691248769386
ENSMUSG00000001128	ENSMUSG00000001128	Cfp	-0.125896994479601	0.320280306917498
ENSMUSG00000001131	ENSMUSG00000001131	Timp1	-0.012514868702924	0.939410817598284
ENSMUSG00000001134	ENSMUSG00000001134	Uxt	-0.109041819161703	0.622551118858707
ENSMUSG00000001138	ENSMUSG00000001138	Cnnm3	0.255119139901492	0.0166766003843339
ENSMUSG00000001143	ENSMUSG00000001143	Lman2l	-0.549155508244811	0.000192366553417099
ENSMUSG00000001150	ENSMUSG00000001150	Mcm3ap	0.099281547918163	0.253673565136373
ENSMUSG00000001151	ENSMUSG00000001151	Pcnt	0.153454943390323	0.214681197324964
ENSMUSG00000001155	ENSMUSG00000001155	Ftcd	0	1
ENSMUSG00000001156	ENSMUSG00000001156	Mxd1	-1.6039510354441	1.64530829476165e-06
ENSMUSG00000001157	ENSMUSG00000001157	Gmcl1	-0.0315730455570817	0.771481724960989
ENSMUSG00000001158	ENSMUSG00000001158	Snrnp27	-0.147388398205344	0.199001143715542
ENSMUSG00000001166	ENSMUSG00000001166	Oas1c	1.0324730505728	0.0286891285807062
ENSMUSG00000001168	ENSMUSG00000001168	Oas1h	0	1
ENSMUSG00000001173	ENSMUSG00000001173	Ocrl	0.376840419563657	0.0112543091920145
ENSMUSG00000001175	ENSMUSG00000001175	Calm1	-0.688978908620355	8.97392731158678e-05
ENSMUSG00000001211	ENSMUSG00000001211	Agpat3	-0.156655378737117	0.184053862881231
ENSMUSG00000001225	ENSMUSG00000001225	Slc26a3	-3.79243582711499	0.00142782350231151
ENSMUSG00000001227	ENSMUSG00000001227	Sema6b	-0.245839819574133	0.0690154601346327
ENSMUSG00000001228	ENSMUSG00000001228	Uhrf1	0.0748979659981697	0.539892951378131
ENSMUSG00000001229	ENSMUSG00000001229	Dpp9	0.0375157813157263	0.711044036875303
ENSMUSG00000001240	ENSMUSG00000001240	Ramp2	-0.305830942406333	0.0990921687526746
ENSMUSG00000001247	ENSMUSG00000001247	Lsr	-0.470574691814714	0.0152011158875918
ENSMUSG00000001248	ENSMUSG00000001248	Gramd1a	-0.00128284590488922	0.992672086714784
ENSMUSG00000001249	ENSMUSG00000001249	Hpn	0.396788506743364	0.14929849005448
ENSMUSG00000001260	ENSMUSG00000001260	Gabrg1	0	1
ENSMUSG00000001270	ENSMUSG00000001270	Ckb	-1.6407476677621	5.52447023475015e-06
ENSMUSG00000001280	ENSMUSG00000001280	Sp1	0.162799304341037	0.127390189249534
ENSMUSG00000001281	ENSMUSG00000001281	Itgb7	0.107709658931276	0.571456331010496
ENSMUSG00000001285	ENSMUSG00000001285	Myg1	-0.0683640369633451	0.577739714198027
ENSMUSG00000001288	ENSMUSG00000001288	Rarg	-0.316823771047078	0.00669453629893217
ENSMUSG00000001289	ENSMUSG00000001289	Pfdn5	-0.0864638790535673	0.432483371808711
ENSMUSG00000001300	ENSMUSG00000001300	Efnb2	-0.129289565708492	0.177967060511853
ENSMUSG00000001305	ENSMUSG00000001305	Rrp15	0.348059912765155	0.0112581535738758
ENSMUSG00000001313	ENSMUSG00000001313	Rnd2	0.230162997445003	0.175160783496282
ENSMUSG00000001323	ENSMUSG00000001323	Srr	-0.168729396829237	0.118694153577545
ENSMUSG00000001333	ENSMUSG00000001333	Sync	-0.759111029939527	0.00309659534741715
ENSMUSG00000001334	ENSMUSG00000001334	Fndc5	-0.531161287735374	0.00172425947101916
ENSMUSG00000001348	ENSMUSG00000001348	Acp5	0.66775149545162	0.00327998765569411
ENSMUSG00000001349	ENSMUSG00000001349	Cnn1	0.452370813307761	0.18138345864883
ENSMUSG00000001366	ENSMUSG00000001366	Fbxo9	-0.151267389190064	0.203893872344743
ENSMUSG00000001376	ENSMUSG00000001376	Vps50	0.021942113309907	0.85184648255801
ENSMUSG00000001380	ENSMUSG00000001380	Hars	-0.694970849364939	6.10878851806118e-05
ENSMUSG00000001383	ENSMUSG00000001383	Zmat2	-0.17177451658573	0.0966303315670109
ENSMUSG00000001403	ENSMUSG00000001403	Ube2c	-0.0746783891966418	0.642709485821076
ENSMUSG00000001415	ENSMUSG00000001415	Smg5	0.0588482256488619	0.601969605251667
ENSMUSG00000001416	ENSMUSG00000001416	Cct3	0.0785913071380541	0.4002246284223
ENSMUSG00000001418	ENSMUSG00000001418	Glmp	-0.11976267462904	0.250180687262673
ENSMUSG00000001419	ENSMUSG00000001419	Mef2d	-0.140941585862155	0.235557134748681
ENSMUSG00000001420	ENSMUSG00000001420	Tmem79	-0.778592029119415	0.00103419806318095
ENSMUSG00000001424	ENSMUSG00000001424	Snd1	0.181552786063899	0.0449518264189269
ENSMUSG00000001435	ENSMUSG00000001435	Col18a1	0.454583281940866	0.000707752766417425
ENSMUSG00000001436	ENSMUSG00000001436	Slc19a1	0.782520041510601	0.000348271277304446
ENSMUSG00000001440	ENSMUSG00000001440	Kpnb1	0.175730815862954	0.0730101689671961
ENSMUSG00000001441	ENSMUSG00000001441	Npepps	0.406673989050019	0.020489433551768
ENSMUSG00000001444	ENSMUSG00000001444	Tbx21	0	1
ENSMUSG00000001445	ENSMUSG00000001445	Mrpl10	0.114202503034428	0.229023137040585
ENSMUSG00000001467	ENSMUSG00000001467	Cyp51	-0.613397314355175	0.00106919822731434
ENSMUSG00000001472	ENSMUSG00000001472	Tcf25	-0.143727018320834	0.173866595609961
ENSMUSG00000001473	ENSMUSG00000001473	Tubb6	0.495905323147854	0.0161597472720093
ENSMUSG00000001482	ENSMUSG00000001482	Def8	-0.477866523842988	0.00144765182420915
ENSMUSG00000001493	ENSMUSG00000001493	Meox1	-0.347825658784136	0.170391591314227
ENSMUSG00000001494	ENSMUSG00000001494	Sost	-0.984260196994505	0.0141457033913069
ENSMUSG00000001496	ENSMUSG00000001496	Nkx2-1	0	1
ENSMUSG00000001497	ENSMUSG00000001497	Pax9	4.36826397408854	0.0004019944227501
ENSMUSG00000001504	ENSMUSG00000001504	Irx2	-0.198267788351106	0.169964876958077
ENSMUSG00000001506	ENSMUSG00000001506	Col1a1	-0.102019911651799	0.461089930799693
ENSMUSG00000001507	ENSMUSG00000001507	Itga3	0.096038260181407	0.466904542856173
ENSMUSG00000001508	ENSMUSG00000001508	Sgca	-0.985125044436423	0.0019247894313833
ENSMUSG00000001510	ENSMUSG00000001510	Dlx3	-2.73679921691792	1.53236279381372e-07
ENSMUSG00000001517	ENSMUSG00000001517	Foxm1	-0.114617119431719	0.3552458188801
ENSMUSG00000001518	ENSMUSG00000001518	Itfg2	-0.0775180747749215	0.451688192639417
ENSMUSG00000001520	ENSMUSG00000001520	Nrip2	0.0022128204969703	0.995630753799866
ENSMUSG00000001521	ENSMUSG00000001521	Tulp3	-0.212647553708862	0.0464493140411943
ENSMUSG00000001524	ENSMUSG00000001524	Gtf2h4	-0.00468365482737966	0.97173980943583
ENSMUSG00000001525	ENSMUSG00000001525	Tubb5	0.0354084701906889	0.779207373995907
ENSMUSG00000001542	ENSMUSG00000001542	Ell2	-0.583326038357839	0.0017081998673541
ENSMUSG00000001552	ENSMUSG00000001552	Jup	0.331459534784292	0.170931407753959
ENSMUSG00000001555	ENSMUSG00000001555	Fkbp10	-0.0946256243712073	0.350425954384219
ENSMUSG00000001558	ENSMUSG00000001558	Klhl10	-0.0483417088686306	0.939653100833683
ENSMUSG00000001566	ENSMUSG00000001566	Mnx1	0	1
ENSMUSG00000001569	ENSMUSG00000001569	Nom1	0.396711908908501	0.00184823514486641
ENSMUSG00000001576	ENSMUSG00000001576	Ergic1	0.219399413778582	0.025327617477529
ENSMUSG00000001583	ENSMUSG00000001583	Tnk1	0.503813670574318	0.00524243474478027
ENSMUSG00000001588	ENSMUSG00000001588	Acap1	-0.288018064508735	0.299640276859702
ENSMUSG00000001604	ENSMUSG00000001604	Tcea3	-0.461447877746547	0.00669930548682576
ENSMUSG00000001622	ENSMUSG00000001622	Csn3	0	1
ENSMUSG00000001627	ENSMUSG00000001627	Ifrd1	-1.19747638191829	2.93459517605241e-06
ENSMUSG00000001630	ENSMUSG00000001630	Stk38l	-0.0724751357692965	0.686232548671461
ENSMUSG00000001632	ENSMUSG00000001632	Brpf1	0.0933016230311232	0.357819275277931
ENSMUSG00000001642	ENSMUSG00000001642	Akr1b3	-0.0448829886765898	0.811283370275676
ENSMUSG00000001655	ENSMUSG00000001655	Hoxc13	-0.843804033014307	0.0601124459212019
ENSMUSG00000001656	ENSMUSG00000001656	Hoxc11	-1.47181716967868	0.0951273306362155
ENSMUSG00000001657	ENSMUSG00000001657	Hoxc8	-0.260209723882182	0.311905337646356
ENSMUSG00000001661	ENSMUSG00000001661	Hoxc6	-0.224963756710064	0.243136755113965
ENSMUSG00000001663	ENSMUSG00000001663	Gstt1	0.111394656832565	0.810847737773196
ENSMUSG00000001665	ENSMUSG00000001665	Gstt3	-0.101622275255124	0.735392812352702
ENSMUSG00000001666	ENSMUSG00000001666	Ddt	0.111668973985324	0.471755665556625
ENSMUSG00000001670	ENSMUSG00000001670	Tat	0	1
ENSMUSG00000001672	ENSMUSG00000001672	Marveld3	0.278694963357871	0.161128772328526
ENSMUSG00000001674	ENSMUSG00000001674	Ddx18	0.262062142597813	0.0542002684844812
ENSMUSG00000001687	ENSMUSG00000001687	Ubl3	-1.62683843617669	1.76468241035749e-07
ENSMUSG00000001700	ENSMUSG00000001700	Gramd3	-1.00574670303678	6.71024335174712e-05
ENSMUSG00000001707	ENSMUSG00000001707	Eef1e1	0.269832085062957	0.0296321054891326
ENSMUSG00000001729	ENSMUSG00000001729	Akt1	0.142122939269663	0.135159351537867
ENSMUSG00000001739	ENSMUSG00000001739	Cldn15	0.0358417249796818	0.928078818517223
ENSMUSG00000001741	ENSMUSG00000001741	Il16	-0.0735886161072003	0.781288241888527
